Jour 0
Nom: Pass VIP Concert   | SellIn:  14 | Qualité: 21
Nom: Pass VIP Concert   | SellIn:  10 | Qualité: 49
Nom: Pass VIP Concert   | SellIn:   5 | Qualité: 49
Nom: Comté              | SellIn:  10 | Qualité: 30
Nom: Comté              | SellIn:   0 | Qualité: 50
Nom: Objet              | SellIn:   5 | Qualité: 10
Nom: Objet              | SellIn:  -1 | Qualité: 10
Nom: Objet              | SellIn:  -1 | Qualité:  1
Nom: Kryptonite         | SellIn:   0 | Qualité: 80
Nom: Kryptonite         | SellIn:  -1 | Qualité: 81
Nom: Objet légendaire   | SellIn:   0 | Qualité: 80

Jour 1
Nom: Pass VIP Concert   | SellIn:  13 | Qualité: 22
Nom: Pass VIP Concert   | SellIn:   9 | Qualité: 50
Nom: Pass VIP Concert   | SellIn:   4 | Qualité: 50
Nom: Comté              | SellIn:   9 | Qualité: 31
Nom: Comté              | SellIn:  -1 | Qualité: 50
Nom: Objet              | SellIn:   4 | Qualité:  9
Nom: Objet              | SellIn:  -2 | Qualité:  8
Nom: Objet              | SellIn:  -2 | Qualité:  0
Nom: Kryptonite         | SellIn:   0 | Qualité: 80
Nom: Kryptonite         | SellIn:  -1 | Qualité: 81
Nom: Objet légendaire   | SellIn:  -1 | Qualité: 78

Jour 2
Nom: Pass VIP Concert   | SellIn:  12 | Qualité: 23
Nom: Pass VIP Concert   | SellIn:   8 | Qualité: 50
Nom: Pass VIP Concert   | SellIn:   3 | Qualité: 50
Nom: Comté              | SellIn:   8 | Qualité: 32
Nom: Comté              | SellIn:  -2 | Qualité: 50
Nom: Objet              | SellIn:   3 | Qualité:  8
Nom: Objet              | SellIn:  -3 | Qualité:  6
Nom: Objet              | SellIn:  -3 | Qualité:  0
Nom: Kryptonite         | SellIn:   0 | Qualité: 80
Nom: Kryptonite         | SellIn:  -1 | Qualité: 81
Nom: Objet légendaire   | SellIn:  -2 | Qualité: 76

Jour 3
Nom: Pass VIP Concert   | SellIn:  11 | Qualité: 24
Nom: Pass VIP Concert   | SellIn:   7 | Qualité: 50
Nom: Pass VIP Concert   | SellIn:   2 | Qualité: 50
Nom: Comté              | SellIn:   7 | Qualité: 33
Nom: Comté              | SellIn:  -3 | Qualité: 50
Nom: Objet              | SellIn:   2 | Qualité:  7
Nom: Objet              | SellIn:  -4 | Qualité:  4
Nom: Objet              | SellIn:  -4 | Qualité:  0
Nom: Kryptonite         | SellIn:   0 | Qualité: 80
Nom: Kryptonite         | SellIn:  -1 | Qualité: 81
Nom: Objet légendaire   | SellIn:  -3 | Qualité: 74

Jour 4
Nom: Pass VIP Concert   | SellIn:  10 | Qualité: 25
Nom: Pass VIP Concert   | SellIn:   6 | Qualité: 50
Nom: Pass VIP Concert   | SellIn:   1 | Qualité: 50
Nom: Comté              | SellIn:   6 | Qualité: 34
Nom: Comté              | SellIn:  -4 | Qualité: 50
Nom: Objet              | SellIn:   1 | Qualité:  6
